"","display_title","opening_date","publication_date","url","mpaa_rating","critics_pick","omdb.Awards","omdb.BoxOffice","omdb.Metascore","omdb.imdbRating"
"13","A Cure for Wellness","2017-02-17","2017-02-16","http://www.nytimes.com/2017/02/16/movies/a-cure-for-wellness-review.html","R",0,"4 wins & 5 nominations.","$8,103,139","47","6.4"
"14","A Dark Song","2017-04-28","2017-04-27","http://www.nytimes.com/2017/04/27/movies/a-dark-song-review.html","",1,"6 wins & 3 nominations.","N/A","71","6.1"
"15","A German Life","2017-12-22","2017-12-21","http://www.nytimes.com/2017/12/21/movies/a-german-life-review-goebbels-secretary.html","",0,"N/A","N/A","N/A","7.2"
"16","A Ghost Story","2017-07-07","2017-07-05","http://www.nytimes.com/2017/07/05/movies/review-a-ghost-story.html","R",1,"11 wins & 17 nominations.","$1,594,798","84","6.8"
"17","A Good American","2017-02-03","2017-02-02","http://www.nytimes.com/2017/02/02/movies/a-good-american-review.html","",0,"1 win & 7 nominations.","N/A","63","7.5"
"18","A Gray State","2017-11-03","2017-11-02","http://www.nytimes.com/2017/11/02/movies/review-a-gray-state-behind-a-filmmakers-madness.html","",0,"1 nomination.","N/A","74","6.2"
"19","A Monster Calls","2017-01-06","2016-12-22","http://www.nytimes.com/2016/12/22/movies/a-monster-calls-review.html","PG-13",0,"38 wins & 51 nominations.","$3,730,982","76","7.5"
"20","A Taxi Driver","2017-08-11","2017-08-10","http://www.nytimes.com/2017/08/10/movies/a-taxi-driver-review.html","",0,"16 wins & 21 nominations.","$1,527,818","69","7.8"
"21","A United Kingdom","2017-02-10","2017-02-09","http://www.nytimes.com/2017/02/09/movies/review-a-united-kingdom-with-love-that-tested-racial-tolerance.html","PG-13",1,"1 win & 4 nominations.","$3,901,302","65","6.8"
"22","A Woman, a Part","2017-03-22","2017-03-21","http://www.nytimes.com/2017/03/21/movies/a-woman-a-part-review.html","",0,"2 nominations.","N/A","66","5.4"
"23","Actor Martinez","2017-03-10","2017-03-16","http://www.nytimes.com/2017/03/16/movies/actor-martinez-review.html","",0,"N/A","N/A","N/A","5.6"
"24","After Auschwitz","2017-03-25","2018-04-19","http://www.nytimes.com/2018/04/19/movies/after-auschwitz-review.html","",0,"N/A","N/A","74","6.8"
"25","After Love","2017-08-09","2017-08-08","http://www.nytimes.com/2017/08/08/movies/after-love-review.html","",0,"3 wins & 2 nominations.","$13,621","66","6.5"
"26","After the Storm","2017-03-17","2017-03-15","http://www.nytimes.com/2017/03/15/movies/after-the-storm-review.html","",1,"1 win & 11 nominations.","$270,210","84","7.4"
"27","Afterimage","2017-05-19","2017-05-17","http://www.nytimes.com/2017/05/17/movies/afterimage-review.html","",1,"1 win & 12 nominations.","N/A","75","7.1"
"28","Aida's Secrets","2017-10-20","2017-10-19","http://www.nytimes.com/2017/10/19/movies/aidas-secrets-review.html","",1,"1 win & 2 nominations.","$96,104","80","7.2"
"29","AL DI QUA (Life/Here)","2017-11-24","2017-11-23","http://www.nytimes.com/2017/11/23/movies/review-al-di-qua-homelessness-through-an-artsy-filter.html","",0,"N/A","N/A","N/A","N/A"
"30","Alien: Covenant","2017-05-19","2017-05-17","http://www.nytimes.com/2017/05/17/movies/alien-covenant-review-ridley-scott.html","R",0,"1 win & 12 nominations.","$74,255,908","65","6.4"
"31","Alina","2017-09-15","2017-09-14","http://www.nytimes.com/2017/09/14/movies/alina-review.html","",0,"N/A","N/A","N/A","6.5"
"32","All Eyez on Me","2017-06-16","2017-06-15","http://www.nytimes.com/2017/06/15/movies/all-eyez-on-me-review.html","R",0,"1 nomination.","$44,892,121","38","5.8"
"33","All I See Is You","2017-10-27","2017-10-26","http://www.nytimes.com/2017/10/26/movies/all-i-see-is-you-review-blake-lively.html","R",0,"1 nomination.","N/A","43","5.3"
"34","All the Money in the World","2017-12-25","2017-12-24","http://www.nytimes.com/2017/12/24/movies/all-the-money-in-the-world-review-christopher-plummer.html","R",1,"Nominated for 1 Oscar. Another 10 nominations.","&pound;20,153,135","72","6.9"
"35","All the Rage (Saved by Sarno)","2017-06-23","2017-06-22","http://www.nytimes.com/2017/06/22/movies/all-the-rage-review.html","",0,"N/A","N/A","47","9.4"
"36","All These Sleepless Nights","2017-04-07","2017-04-13","http://www.nytimes.com/2017/04/13/movies/all-these-sleepless-nights-review.html","R",0,"4 wins & 10 nominations.","N/A","70","6.7"
"37","All This Panic","2017-03-31","2017-03-30","http://www.nytimes.com/2017/03/30/movies/all-this-panic-review.html","",0,"4 nominations.","N/A","73","6.9"
"38","Along for the Ride","2017-11-03","2017-11-02","http://www.nytimes.com/2017/11/02/movies/along-for-the-ride-review-dennis-hopper.html","",0,"1 nomination.","N/A","61","7.3"
"39","American Assassin","2017-09-15","2017-09-14","http://www.nytimes.com/2017/09/14/movies/american-assassin-review-michael-keaton.html","R",0,"1 nomination.","$34,449,582","45","6.2"
